날짜,종목명,등락률,최근2주출현,연속출현,전고점상태
2026.05.29,LG전자,29.93,4,2,🚀 돌파
2026.05.29,LG씨엔에스,29.91,5,2,🚀 돌파
2026.05.29,LG이노텍,28.57,8,2,🚀 돌파
2026.05.29,LG,26.6,4,2,🚀 돌파
2026.05.29,현대오토에버,24.8,5,2,🚀 돌파
2026.05.29,삼성에스디에스,20.32,6,2,🚀 돌파
2026.05.29,두산,18.8,3,2,🚀 돌파
2026.05.29,대덕전자,15.84,7,2,🚀 돌파
2026.05.29,삼성전기,15.04,9,2,🚀 돌파
2026.05.29,NAVER,14.15,5,2,-18.5%
2026.05.29,현대모비스,11.95,7,2,🚀 돌파
2026.05.29,LG디스플레이,11.58,5,2,🚀 돌파
2026.05.29,삼성생명,8.67,8,2,🚀 돌파
2026.05.29,삼성물산,8.26,4,2,-4.3%
2026.05.29,현대차,6.79,4,2,🚀 돌파
2026.05.29,LG화학,6.53,4,2,-14.6%
2026.05.29,삼성전자우,6.08,4,2,🚀 돌파
2026.05.29,한국타이어앤테크놀로지,6.03,5,2,-12.0%
2026.05.29,삼성전자,5.84,6,2,🚀 돌파
2026.05.29,카카오뱅크,4.67,4,2,-22.0%
2026.05.29,카카오,4.61,3,2,-34.2%
2026.05.29,삼성E&A,4.13,3,2,-17.9%
2026.05.29,현대글로비스,4.08,4,2,-16.5%
2026.05.29,현대건설,3.96,2,2,-22.1%
2026.05.29,SK텔레콤,3.82,4,2,-4.9%
2026.05.29,LG에너지솔루션,3.62,4,2,-5.5%
2026.06.01,두산로보틱스,29.95,3,1,🚀 돌파
2026.06.01,LG전자,29.86,4,2,🚀 돌파
2026.06.01,LG씨엔에스,26.27,5,2,🚀 돌파
2026.06.01,삼성에스디에스,21.07,6,2,🚀 돌파
2026.06.01,NAVER,16.03,5,2,-5.4%
2026.06.01,LG,13.1,4,2,🚀 돌파
2026.06.01,삼성전자우,13.09,5,2,🚀 돌파
2026.06.01,두산,11.71,3,2,🚀 돌파
2026.06.01,SK텔레콤,11.53,4,2,🚀 돌파
2026.06.01,LS ELECTRIC,10.56,3,1,-69.9%
2026.06.01,삼성전자,10.09,7,2,🚀 돌파
2026.06.01,현대차2우B,8.64,2,1,-8.7%
2026.06.01,이수페타시스,7.89,4,1,-13.6%
2026.06.01,에이피알,7.84,3,1,-7.1%
2026.06.01,현대로템,6.23,5,1,-20.8%
2026.06.01,삼성화재,6.15,3,1,🔥 근접(-2.3%)
2026.06.01,삼성생명,5.53,8,2,🚀 돌파
2026.06.01,삼성물산,5.2,5,2,🚀 돌파
2026.06.01,LG이노텍,4.94,8,2,🚀 돌파
2026.06.01,대한전선,4.73,1,1,-34.2%
2026.06.01,LS,4.48,4,1,-15.7%
2026.06.01,HD현대마린솔루션,4.02,6,1,-16.9%
2026.06.01,삼성증권,3.92,3,1,-16.7%
2026.06.01,한미반도체,3.9,4,1,-28.4%
2026.06.01,현대차,3.73,4,2,🚀 돌파
2026.06.02,두산로보틱스,20.45,4,2,🚀 돌파
2026.06.02,삼성생명,17.07,8,3,🚀 돌파
2026.06.02,NC,14.38,4,1,🚀 돌파
2026.06.02,SK텔레콤,11.59,5,3,🚀 돌파
2026.06.02,SK스퀘어,7.17,5,1,🚀 돌파
2026.06.02,삼성물산,6.7,5,3,🚀 돌파
2026.06.02,삼성화재,6.13,4,2,🚀 돌파
2026.06.02,LG디스플레이,5.63,6,1,🚀 돌파
2026.06.02,신한지주,4.1,4,1,-9.1%
2026.06.02,S-Oil,3.44,4,1,-23.4%
2026.06.02,NAVER,3.31,6,3,🔥 근접(-2.3%)
2026.06.02,삼성전자,3.3,7,3,🚀 돌파
2026.06.02,DB손해보험,3.19,2,1,-29.2%
2026.06.02,LG전자,3.15,5,3,🚀 돌파
2026.06.02,KB금융,2.96,4,1,-7.2%
2026.06.02,한진칼,2.79,2,1,-33.9%
2026.06.02,하나금융지주,2.72,4,1,-10.9%
2026.06.02,우리금융지주,1.7,4,1,-26.7%
2026.06.02,SK,1.67,6,1,🔥 근접(-1.8%)
2026.06.02,한국타이어앤테크놀로지,1.6,5,1,-8.0%
2026.06.02,기업은행,1.5,4,1,-28.7%
2026.06.02,KT,1.32,3,1,-21.8%
2026.06.02,삼성전자우,1.09,5,3,🚀 돌파
2026.06.02,크래프톤,1.0,4,1,-14.1%
2026.06.02,삼성중공업,0.54,3,1,-19.5%
